OBJECTID,SAP_EQUIPMENT,ITEM_DESCRIPTION,ITEM_TYPE,SAP_FUNCTIONAL_LOCATION,PARK_NUMBER,PARK_NAME,SUBURB,POWER_TYPE,NUMBER_OF_PLATES,LONG,LAT,geo_shape,geo_point_2d
603,200482018,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2486-N002,D0819,VOGLER PARK,SUNNYBANK HILLS,MAINS POWER,1,153.05155371047906,-27.606494672054573,"{""coordinates"": [153.05155371047906, -27.606494672054573], ""type"": ""Point""}","-27.606494672054573, 153.05155371047906"
604,200482186,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1862-N008,D0161,DORRINGTON PARK,ASHGROVE,MAINS POWER,1,152.98582585884722,-27.439362611613966,"{""coordinates"": [152.98582585884722, -27.439362611613966], ""type"": ""Point""}","-27.439362611613966, 152.98582585884722"
605,200482228,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1716-N013,D0208,TERALBA PARK,EVERTON PARK,MAINS POWER,1,152.98020923008286,-27.402590195573058,"{""coordinates"": [152.98020923008286, -27.402590195573058], ""type"": ""Point""}","-27.402590195573058, 152.98020923008286"
606,200482241,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1416-N014,D0545,TOOHEY FOREST PARK,NATHAN,MAINS POWER,2,153.04114174151175,-27.536233374470925,"{""coordinates"": [153.04114174151175, -27.536233374470925], ""type"": ""Point""}","-27.536233374470925, 153.04114174151175"
607,200482197,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0394-N001,D1551,SVOBODA PARK,KURABY,MAINS POWER,1,153.09759651732853,-27.60556894913662,"{""coordinates"": [153.09759651732853, -27.60556894913662], ""type"": ""Point""}","-27.60556894913662, 153.09759651732853"
608,200482213,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1978-N006,D0170,YOWOGGERA  PARK,ALBION,MAINS POWER,1,153.04224174911585,-27.437949063449615,"{""coordinates"": [153.04224174911585, -27.437949063449615], ""type"": ""Point""}","-27.437949063449615, 153.04224174911585"
609,200482267,BBQ - ELECTRIC DOUBLE (SOLAR 12V),BARBEQUE,B-RE-0572-N001,D1763,COLMSLIE BEACH RESERVE,MURARRIE,SOLAR POWER,2,153.09157059370557,-27.45088232212564,"{""coordinates"": [153.09157059370557, -27.45088232212564], ""type"": ""Point""}","-27.45088232212564, 153.09157059370557"
610,200482294,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1672-N008,D0662,JOHN GOSS RESERVE,CHERMSIDE WEST,MAINS POWER,1,153.01283332120994,-27.378811697375617,"{""coordinates"": [153.01283332120994, -27.378811697375617], ""type"": ""Point""}","-27.378811697375617, 153.01283332120994"
611,200483002,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1855-N004,D0054,LAVARACK PARK,CAMP HILL,MAINS POWER,1,153.08445778510972,-27.490066832392152,"{""coordinates"": [153.08445778510972, -27.490066832392152], ""type"": ""Point""}","-27.490066832392152, 153.08445778510972"
612,200483067,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1827-N004,D0085,PERRY PARK,BOWEN HILLS,MAINS POWER,1,153.04143715508178,-27.444410297977086,"{""coordinates"": [153.04143715508178, -27.444410297977086], ""type"": ""Point""}","-27.444410297977086, 153.04143715508178"
613,200483286,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-0673-N003,D1845,ROCKS RIVERSIDE PARK,SEVENTEEN MILE ROCKS,MAINS POWER,2,152.95938178643578,-27.542356743688913,"{""coordinates"": [152.95938178643578, -27.542356743688913], ""type"": ""Point""}","-27.542356743688913, 152.95938178643578"
614,200483644,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1970-N004,D0178,BOWMAN PARK,BARDON,MAINS POWER,1,152.9781270543299,-27.459022563661495,"{""coordinates"": [152.9781270543299, -27.459022563661495], ""type"": ""Point""}","-27.459022563661495, 152.9781270543299"
615,200483995,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0026-N004,D1195,BILLABONG PLACE PARK,PARKINSON,MAINS POWER,1,153.03693399291546,-27.632233883148256,"{""coordinates"": [153.03693399291546, -27.632233883148256], ""type"": ""Point""}","-27.632233883148256, 153.03693399291546"
616,200484351,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0183-N001,D1984,JEAYS STREET PARK,BOWEN HILLS,MAINS POWER,1,153.036267268767,-27.448767945578883,"{""coordinates"": [153.036267268767, -27.448767945578883], ""type"": ""Point""}","-27.448767945578883, 153.036267268767"
617,200487209,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1628-N003,D0564,C.J.GREENFIELD COMPLEX PARK,RICHLANDS,MAINS POWER,1,152.96585889984595,-27.57950299310678,"{""coordinates"": [152.96585889984595, -27.57950299310678], ""type"": ""Point""}","-27.57950299310678, 152.96585889984595"
618,200488161,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2628-N007,D0995,WYNNUM WADING POOL PARK,WYNNUM,MAINS POWER,1,153.1763285075394,-27.441633562817703,"{""coordinates"": [153.1763285075394, -27.441633562817703], ""type"": ""Point""}","-27.441633562817703, 153.1763285075394"
619,200488231,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1877-N002,D0274,BRIGHTON PARK,BRIGHTON,MAINS POWER,2,153.06083559000956,-27.282668923643442,"{""coordinates"": [153.06083559000956, -27.282668923643442], ""type"": ""Point""}","-27.282668923643442, 153.06083559000956"
620,200488406,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2318-N002,D1251,BRAMPTON STREET PARK,EIGHT MILE PLAINS,MAINS POWER,1,153.09866540328133,-27.57232065214718,"{""coordinates"": [153.09866540328133, -27.57232065214718], ""type"": ""Point""}","-27.57232065214718, 153.09866540328133"
621,200488532,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0459-N005,D1572,WAKERLEY PARK,WAKERLEY,MAINS POWER,1,153.15047969002123,-27.486492959100293,"{""coordinates"": [153.15047969002123, -27.486492959100293], ""type"": ""Point""}","-27.486492959100293, 153.15047969002123"
622,200488600,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1365-N002,D0473,RAINWORTH PARK,BARDON,MAINS POWER,1,152.9830466566133,-27.46704365867424,"{""coordinates"": [152.9830466566133, -27.46704365867424], ""type"": ""Point""}","-27.46704365867424, 152.9830466566133"
623,200488634,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1771-N004,D0216,FREDERICK ANNAND PARK,CHERMSIDE WEST,MAINS POWER,2,153.01854787643808,-27.379043004064155,"{""coordinates"": [153.01854787643808, -27.379043004064155], ""type"": ""Point""}","-27.379043004064155, 153.01854787643808"
624,200488737,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2389-N001,D0909,ALLAWAH STREET PARK,YEERONGPILLY,MAINS POWER,1,153.01037013083518,-27.53062614547014,"{""coordinates"": [153.01037013083518, -27.53062614547014], ""type"": ""Point""}","-27.53062614547014, 153.01037013083518"
625,200488746,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0456-N001,D1576,PAT RAFTER PARK,CARSELDINE,MAINS POWER,1,153.0095223097328,-27.341427211689066,"{""coordinates"": [153.0095223097328, -27.341427211689066], ""type"": ""Point""}","-27.341427211689066, 153.0095223097328"
626,200488815,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1947-N006,D0204,GIBSON PARK,STAFFORD,MAINS POWER,2,153.014853789161,-27.411614515779057,"{""coordinates"": [153.014853789161, -27.411614515779057], ""type"": ""Point""}","-27.411614515779057, 153.014853789161"
627,200489542,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1493-N001,D0512,MELROSE PARK,KALINGA,MAINS POWER,2,153.04453211500834,-27.4132588087036,"{""coordinates"": [153.04453211500834, -27.4132588087036], ""type"": ""Point""}","-27.4132588087036, 153.04453211500834"
628,200500149,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0453-N003,D1582,BILL MCFARLANE PARK,WAKERLEY,MAINS POWER,1,153.14930079618782,-27.47809859783748,"{""coordinates"": [153.14930079618782, -27.47809859783748], ""type"": ""Point""}","-27.47809859783748, 153.14930079618782"
629,200488604,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1375-N002,D0477,MILTON PARK,MILTON,MAINS POWER,1,153.00104768697736,-27.4707449142128,"{""coordinates"": [153.00104768697736, -27.4707449142128], ""type"": ""Point""}","-27.4707449142128, 153.00104768697736"
